,cloudiness,country,date,humidity,lat,lon,maxtemp,wind_speed
289,77,NZ,1561605692,85,-46.13,167.69,53.01,3
290,35,AU,1561605692,57,-37.56,143.86,62.01,18.03
291,100,YE,1561605692,42,15.17,44.32,75.83,1.57
292,75,MX,1561605450,79,16.86,-99.88,84.2,3.36
293,0,ML,1561605453,8,22.68,-3.98,94.73,9.93
294,32,AU,1561605693,25,-20.77,117.15,77.81,3.38
295,0,MR,1561605693,73,20.93,-17.03,71.6,21.92
296,0,CN,1561605693,17,42.84,93.51,76.91,12.84
297,100,IN,1561605693,49,24.53,84.02,93.29,13.96
298,100,RU,1561605694,74,67.55,63.78,46.13,8.03
299,40,TR,1561605694,88,38.92,27.84,62.6,9.17
300,0,ID,1561605557,73,4.14,96.13,81.77,3.62
301,0,HR,1561605694,65,43.52,16.25,78.01,3.36
302,40,PT,1561605695,77,37.72,-25.43,62.6,11.41
303,0,AR,1561605657,53,-43.25,-65.31,46.49,20
304,100,RU,1561605695,58,64,44.44,54.23,4.36
305,15,US,1561605695,61,42.87,-97.4,80.6,10.29
306,0,TR,1561605695,78,37.27,28.22,75.2,2.24
307,0,ZA,1561605695,58,-34.04,23.05,55.4,6.93
308,40,MX,1561605696,70,21.05,-89.07,86,4.7
309,25,AU,1561605696,33,-20.73,139.49,75.2,9.17
310,78,SB,1561605696,70,-8.15,159.59,84.47,8.61
311,1,CU,1561605696,74,22.2,-84.09,85.01,22.59
312,100,RU,1561605697,96,50.68,156.12,40.55,17.54
313,90,MX,1561605675,83,20.71,-105.21,84.99,4.7
